小时,温度,风力方向,风级,降水量,相对湿度,空气质量
18,1.3,东风,1,0,80,
17,2.0,北风,1,0,75,206
16,3.5,北风,1,0,69,212
15,4.4,西北风,1,0,65,200
14,4.4,西北风,1,0,64,211
13,4.1,西北风,2,0,65,207
12,3.3,西北风,2,0,70,203
11,1.4,西风,1,0,78,179
10,0.0,西北风,1,0,85,170
09,-1.8,东南风,1,0,88,160
08,-3.4,东风,1,0,91,142
07,-3.6,东南风,2,0,92,134
06,-3.7,东风,2,0,93,132
05,-3.6,东南风,1,0,90,125
04,-3.5,北风,0,0,90,130
03,-3.2,东风,1,0,91,127
02,-3.0,东风,1,0,90,125
01,-2.8,东南风,1,0,89,127
00,-2.6,东南风,1,0,90,129
23,-2.5,东风,1,0,90,133
22,-2.0,东南风,1,0,89,139
21,-1.7,东风,1,0,89,143
20,-1.4,东南风,1,0,86,132
19,-0.9,西北风,1,0,84,132
